description,record_tracking_list_display_format_id,age_group_desc,record_tracking_list_event_id,gender,distance,stroke_code,course_code,RANK,swim_time,individual_time_id,relay_time_id,preferred_name,first_name,last_name,lsc_id,club_code,team_code,ind_meet_name,rel_meet_name,country_code,location,location_country_code,swim_date,session_desc,relay_lead_yn,bios_display_swap_first_last_name_yn,disable_name_swapping_yn
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,40,1/1/1900 12:01:55 AM,,,Will,William,Whittington,MN,SCSC,,,,   ,Minneapolis,,7/27/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,42,1/1/1900 12:01:55 AM,121488878,,Matthew,Matthew,Tannenberger,GU,SSAN,,2017 ST TXLA Long Course TAGS,,   ,Austin,,7/28/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,43,1/1/1900 12:01:55 AM,77942686,,Sean,Sean,Grieshop,PC,UN,,2013 Summer Junior Nats ,,,Irvine,,8/5/2013,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,43,1/1/1900 12:01:55 AM,132080931,,Braeden,Braeden,Haughey,NC,TAC,,2018 NCS LC AG Championships,,   ,Greensboro,,7/13/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,45,1/1/1900 12:01:55 AM,67674942,,,Knox,Auerbach,SE,DYNA,,2012 NT LC Southern Zone Champ,,,Rockwall ,,7/31/2012,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,46,1/1/1900 12:01:55 AM,65145378,,Aidan,Aidan,Burns,PC,SCSC,,2012 PC SCSC Senior Walk-On,,   ,Santa Clara,,5/13/2012,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,46,1/1/1900 12:01:55 AM,142060816,,,Allen,Cai,CA,NOVA,,2019 CA NOVA JAG,,   ,Irvine,,6/13/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,48,1/1/1900 12:01:55 AM,143634279,,,Rex,Maurer,IL,WILD,,2019 IL LC Age Group Champions,,   ,St. John,,7/27/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,49,1/1/1900 12:01:56 AM,,,Jeff,Jeffrey,Olsen,IA,AAAA,,,,,,,1/1/1984,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,50,1/1/1900 12:01:56 AM,98818107,,,Lucas,Kravchenko,FL,CBS,,2015 FL Swimming Summer FLAGS,,   ,Sarasota,,7/17/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,51,1/1/1900 12:01:56 AM,40610126,,Ian,Ian,Burns,PC,SCSC,,2009 CA/NV Speedo Championship,,,Clovis ,,7/22/2009,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,52,1/1/1900 12:01:56 AM,131058552,,Lance,Lance,Norris,NC,RMY,,2018 NC TAC TITANS TYR Classic ,,   ,Cary,,6/15/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,53,1/1/1900 12:01:56 AM,,,Dustin,Dustin,Bengston,GA,WFLA,,,,,,,1/1/1991,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,54,1/1/1900 12:01:56 AM,49283419,,,Liam,Egan,MR,CRIM,,2010 Summer Junior Nats,,,Irvine,,8/9/2010,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,55,1/1/1900 12:01:56 AM,88038578,,Levente,Levente,Bathory,NC,EAC,,2014  NC 14 & Under Long Cours,,   ,Cary,,7/17/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,56,1/1/1900 12:01:56 AM,67254388,,Wesley,George,McGovern,IN,TBAY,,2012 FLS Summer Age Group Cham,,,Gainesville ,,7/19/2012,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,57,1/1/1900 12:01:56 AM,109826210,,Arik,Arik,Katz,FL,SYS,,2016 FL Swimming Summer FLAGS,,   ,Orlando,,7/15/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,58,1/1/1900 12:01:56 AM,,,Humberto,Humberto,Najera,CA,MVN,,,,   ,College Station,,2/27/2020,,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,59,1/1/1900 12:01:56 AM,,,Kayden,Kayden,Lancaster,IN,CSC,,,,   ,Indianapolis,,7/28/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,60,1/1/1900 12:01:56 AM,143793686,,Hayden,Charles,Bellotti,GU,FCST,,2019 Futures Des Moines,,   ,Des Moines,,8/2/2019,Prelim,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,61,1/1/1900 12:01:56 AM,,,Brett,Brett,Cline,VA,UN,,,,,,,1/1/1994,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,61,1/1/1900 12:01:56 AM,88136500,,,Hunter,Hitchens,CA,NOVA,,2014 CA MVN Summer Junior Olym,,   ,Mission Viejo,,7/23/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,63,1/1/1900 12:01:56 AM,67251485,,Naza,Nazareno,Boscaino,FL,CAT,,2012 FLS Summer Age Group Cham,,,Gainesville ,,7/19/2012,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,64,1/1/1900 12:01:56 AM,,,Lleyton,Lleyton,Plattel,PC,PLS,,,,   ,Santa Clara,,7/16/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,65,1/1/1900 12:01:56 AM,,,Nick,Nicholas,Grulke,CA,UN,,,,   ,La Mirada,,11/2/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,66,1/1/1900 12:01:56 AM,,,,Cary,McConlogue,US,UN,,,,,,,1/1/1986,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,67,1/1/1900 12:01:56 AM,,,Noel,Noel,Strauss,AR,LRAD,,,,,,,1/1/1987,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,68,1/1/1900 12:01:56 AM,,,,Caeleb,Dressel,FL,BSS,,,,,Orlando ,,7/14/2011,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,69,1/1/1900 12:01:56 AM,,,Brendan,Brendan,Hausdorf,GA,LINS,,,,   ,Atlanta,,7/21/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,70,1/1/1900 12:01:56 AM,1771224,,,Cody,Weik,AD,LEBY,,2003 AM Eastern Zone Champs,,,Pittsburgh,,8/6/2003,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,70,1/1/1900 12:01:56 AM,143045968,,Nathan,Nathan,Jao,NC,EAC,,2019 NC LC AG Championships,,   ,Cary,,7/12/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,72,1/1/1900 12:01:56 AM,88391045,,Alex,Alexander,Ballard,NC,DYNA,,2014 ST AAAA Southern Zones Ch,,   ,San Antonio,,7/29/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,73,1/1/1900 12:01:56 AM,81930724,,Michael,Michael,Andrew,SI,RPC,,2014 Pro Series - Austin,,,Austin,,1/17/2014,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,74,1/1/1900 12:01:56 AM,143774136,,Mitchell,Mitchell,Schott,CA,NOVA,,2019 Futures - Mt Hood,,   ,Gresham,,8/2/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,75,1/1/1900 12:01:56 AM,33077732,,Adam,Adam,Hinshaw,PC,PASA,,2008 Summer Junior Nats ,,,Minneapolis,,8/4/2008,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,76,1/1/1900 12:01:56 AM,901270,,Brooks,Walter,Stovall,ST,MTYS,,2002 US So. Zone ,,,,,7/30/2002,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,76,1/1/1900 12:01:56 AM,110007797,,Rick,Rick,Mihm,AM,ANSC,,2016 AM LC TPIT Junior Olympic,,   ,Pittsburgh,,7/23/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,78,1/1/1900 12:01:56 AM,18940193,,,Kyle,Whitaker,MI,DUNE,,2006 Summer Junior Nats,,,Irvine,,8/7/2006,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,78,1/1/1900 12:01:56 AM,32849622,,Gray,Gray,Umbach,PC,TWST,,2008 ST TXLA TAGS LC Champs,,,Austin,,7/23/2008,,Y,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,80,1/1/1900 12:01:56 AM,39298708,,,Cole,Brewer,NT,COPS,,2009 ST Texas Senior Circuit ,,,Austin,,6/11/2009,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,81,1/1/1900 12:01:56 AM,,,Mark,Mark,Warkentin,CA,SBAC,,,,,,,1/1/1994,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,81,1/1/1900 12:01:56 AM,132534222,,,Kyle,Korvick,FG,GRSC,,2018 FGC Junior Olympics Long,,   ,Stuart,,7/22/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,83,1/1/1900 12:01:56 AM,88128990,,Michael,James,Brinegar,CA,DON,,2014  IN Age Group State,,   ,Indianapolis,,7/24/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,83,1/1/1900 12:01:56 AM,121488352,,Vincent,Vincent,Ribeiro,ST,NTRO,,2017 ST TXLA Long Course TAGS,,   ,Austin,,7/28/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,85,1/1/1900 12:01:56 AM,132123518,,,Sage,Sungail,FL,PA,,2018 FL Swimming Summer FLAGS,,   ,Sarasota,,7/13/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,85,1/1/1900 12:01:56 AM,132231447,,,John,Hayes,KY,CARD,,2018 KY 13 & Over LCM State Ch,,   ,Elizabethtown,,7/13/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,87,1/1/1900 12:01:56 AM,18938467,,Jordan,Jordan,Huff,IA,DASH,,2006 Summer Junior Nats,,,Irvine,,8/7/2006,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,87,1/1/1900 12:01:56 AM,77920803,,Bryce,Bryce,Mefford,PC,SMST,,2013 PC Far Western Champs,,   ,San Jose,,7/31/2013,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,87,1/1/1900 12:01:56 AM,106828162,,Destin,Destin,Lasco,MA,PVA,,2016 Sectionals - Richmond,,   ,Richmond,,4/1/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,90,1/1/1900 12:01:56 AM,,,Anthony,Anthony,Robinson,PC,SCSC,,,,,,,1/1/1993,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,90,1/1/1900 12:01:56 AM,110503806,,Andrei,Andrei,Minakov,PC,TERA,,2016 Futures - Palo Alto,,,Palo Alto,,8/4/2016,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,92,1/1/1900 12:01:56 AM,,,,Jason,Cobb,OH,BGSC,,,,,,,1/1/1997,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,93,1/1/1900 12:01:56 AM,118726531,,Ivan,Ivan,Dubinin,PC,UN,,Energy Standard Cup 2017,,   ,Lignano Sabbiadoro,,5/6/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,94,1/1/1900 12:01:56 AM,25421037,,Conor,Conor,Sweeney,GA,TXLA,,2007 ST TAGS LC Champs,,,Austin,,7/18/2007,,Y,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,95,1/1/1900 12:01:56 AM,969868,,Billy,William,Cloutet,LA,HSC,,Jo Champ,,,,,7/24/1997,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,95,1/1/1900 12:01:56 AM,58262864,,Colin,Colin,Ellington,NC,YOTA,,2011 Summer Junior Nats,,,Palo Alto,,8/8/2011,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,97,1/1/1900 12:01:57 AM,18425723,,Thomas,Thomas,Santoli,NC,MAC,,2006 GA Speedo Sectionals,,,,,7/13/2006,,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,97,1/1/1900 12:01:57 AM,98869977,,Ben,Benjamin,Fenwick,SC,MAC,,2015 NC LC AG Championships SG,,   ,Greensboro,,7/17/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,97,1/1/1900 12:01:57 AM,100600765,,Rob,Robert,Powell,MD,ACSS,,Tiblisi 2015,,,Tiblisi,,7/27/2015,Prelim,N,,N
All Time Top 100 Age Group Times,1,13-14,201,M,200,FR,LCM,100,1/1/1900 12:02:10 AM,150787424,,,Phillip,Osadsky,US,UN,,2020 EFSL Short Distance Champ,,   ,Eindhoven,,3/1/2020,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,1,1/1/1900 12:01:47 AM,139593981,,Luca,Gianluca,Urlando,SN,DART,,2019 Sectionals - College Station,,,College Station,,2/28/2019,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,2,1/1/1900 12:01:48 AM,,,,Carson,Foster,OH,RAYS,,,,   ,Suva,FIJ,8/23/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,3,1/1/1900 12:01:48 AM,77951723,,,Caeleb,Dressel,FL,BSS,,2013 Summer Junior Nats ,,,Irvine,,8/5/2013,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,4,1/1/1900 12:01:48 AM,,,Jake,Jacob,Magahey,GA,SA,,,,   ,Suva,FIJ,8/23/2018,Prelim,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,5,1/1/1900 12:01:49 AM,110593192,,Drew,Drew,Kibler,ST,CSC,,2016 Jr Pan Pacific Champs,,,Kihei,,8/24/2016,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,6,1/1/1900 12:01:49 AM,143723642,,Dare,Oludare,Rose,NJ,SCAR,,2019 Summer Nationals,,   ,Stanford,USA,8/1/2019,Prelim,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,7,1/1/1900 12:01:49 AM,141748897,,Truman,Truman,Armstrong,ST,ASC,,2019 WT Frost Bank Invitational ,,   ,Midland,,6/9/2019,Prelim,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,8,1/1/1900 12:01:49 AM,971834,,,Ian,Crocker,ST,PPSC,,1998 US Summer Nationals,,,,,8/11/1998,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,9,1/1/1900 12:01:49 AM,88390762,,Maxime,Maxime,Rooney,ST,PLS,,2014 Summer Junior Nats,,,Irvine,,7/30/2014,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,10,1/1/1900 12:01:49 AM,67813304,,Michael,Michael,Domagala,CA,AGUA,,2012 Summer Junior Nats,,,Indianapolis,,8/13/2012,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,11,1/1/1900 12:01:50 AM,67829504,,Gunnar,Joseph,Bentz,GA,DYNA,,2012 Jr Pan Pacific,,,Honolulu,,8/23/2012,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,12,1/1/1900 12:01:50 AM,121775398,,Destin,Destin,Lasco,MA,PVA,,2017 Summer Junior Nats,,,East Meadow,,8/11/2017,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,13,1/1/1900 12:01:50 AM,58267993,,,Nicholas,Alexiou,FL,CAT,,2011 Summer Junior Nats,,   ,Palo Alto,,8/8/2011,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,13,1/1/1900 12:01:50 AM,77951596,,Townley,Francis,Haas,VA,NOVA,,2013 Summer Junior Nats ,,,Irvine,,8/5/2013,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,15,1/1/1900 12:01:50 AM,110594345,,Trey,Robert,Freeman,FL,BAY,,2016 Jr Pan Pacific Champs,,,Kihei,,8/25/2016,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,16,1/1/1900 12:01:50 AM,88629536,,Aidan,Aidan,Burns,PC,SCSC,,2014 Jr Pan Pacific Championships,,,Kihei,,8/27/2014,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,17,1/1/1900 12:01:50 AM,120235504,,,Jack,Dolan,AZ,RSCA,,2017 Summer Nationals,,,Indianapolis,,6/28/2017,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,18,1/1/1900 12:01:50 AM,63963160,,Reed,Reed,Malone,NC,NTA,,2012 Pro Swim - Columbus,,,Columbus,,3/9/2012,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,19,1/1/1900 12:01:50 AM,95659475,,,Grant,House,AZ,CY,,2015 FL NCSA Spring Champs,,   ,Orlando,,3/19/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,20,1/1/1900 12:01:50 AM,132821138,,,Matthew,Richards,OZ,UN,,British Summer Meet 2018,,   ,Sheffield,GBR,7/29/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,21,1/1/1900 12:01:50 AM,132842153,,Jake,Jacob,Mitchell,IN,CSC,,2018 Summer Junior Nats,,   ,Irvine,USA,8/3/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,22,1/1/1900 12:01:50 AM,,,Joe,Joseph,Hudepohl,CA,UN,,,,,,,1/1/1990,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,22,1/1/1900 12:01:50 AM,110593045,,,Andrew,Abruzzo,MA,PWAC,,2016 Jr Pan Pacific Champs,,,Kihei,,8/24/2016,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,24,1/1/1900 12:01:51 AM,121767291,,,Colton,Paulson,KY,RED,,2017 NCSA Summer Champs,,   ,Indianapolis,,8/3/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,25,1/1/1900 12:01:51 AM,120235999,,Aldan,Aldan,Johnston,AZ,LAK,,2017 Summer Nationals,,,Indianapolis,,6/28/2017,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,26,1/1/1900 12:01:51 AM,903908,,,Christian,DeJong,IL,WMS,,2001 Spring Nationals,,,Austin,,3/27/2001,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,27,1/1/1900 12:01:51 AM,58327673,,Jackson,Jackson,Miller,IN,WCAB,,2011 Summer Nationals,,   ,Palo Alto,,8/5/2011,,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,28,1/1/1900 12:01:51 AM,95659389,,Matthew,Matthew,Hirschberger,PC,NCAP,,2015 FL NCSA Spring Champs,,   ,Orlando,,3/19/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,28,1/1/1900 12:01:51 AM,143869114,,Matthew,Matthew,Tannenberger,GU,SSAN,,2019 NCSA Summer Champs,,   ,Indianapolis,,8/8/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,30,1/1/1900 12:01:51 AM,110530033,,Patrick,Kevin,Callan,MI,TAC,,2016 Summer Junior Nats,,,Minneapolis,,8/11/2016,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,31,1/1/1900 12:01:51 AM,17016377,,Ricky,Richard,Berens,ST,MAC,,2004 Summer Nationals,,,Palo Alto,,8/3/2004,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,32,1/1/1900 12:01:51 AM,142200743,,Jean-pierre,Jean-pierre,Khouzam,OH,DR,,2019 SE Richard Quick Invitati,,   ,Auburn,,6/21/2019,Prelim,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,33,1/1/1900 12:01:51 AM,32978287,,Thomas,Thomas,Santoli,NC,MAC,,2008 U. S. Open,,,Minneapolis,,7/29/2008,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,34,1/1/1900 12:01:51 AM,107990545,,Cody,Cody,Bybee,AZ,DR,,2016 IN IU visitbloomington.com Invite,,   ,Bloomington,,5/21/2016,Prelim,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,35,1/1/1900 12:01:51 AM,102136040,,Austin,Austin,Katz,ST,SYS,,2015 Winter Nationals,,,Federal Way,,12/4/2015,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,36,1/1/1900 12:01:51 AM,53982897,,Matias,Matias,Koski,GA,DYNA,,2011 Pro Series - Missouri ,,,Columbia ,,2/18/2011,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,37,1/1/1900 12:01:51 AM,17018250,,Brooks,Walter,Stovall,ST,MTYS,,2004 Summer Nationals,,,Palo Alto,,8/3/2004,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,38,1/1/1900 12:01:51 AM,,,Craig,Craig,Oppel,IA,UN,,,,,,,1/1/1984,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,39,1/1/1900 12:01:51 AM,150696088,,Michael,Michael,Cotter,NC,TAC,,2020 Sectional - Cary,,   ,Raleigh,,3/6/2020,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,40,1/1/1900 12:01:51 AM,67829559,,Alex,Alexander,Katz,FL,SYS,,2012 Jr Pan Pacific,,,Honolulu,,8/23/2012,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,41,1/1/1900 12:01:51 AM,132842195,,Hugh,Hugh,Svendsen,NC,MAC,,2018 Summer Junior Nats,,   ,Irvine,USA,8/3/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,42,1/1/1900 12:01:51 AM,110530215,,Jack,Jack,Levant,PC,NTN,,2016 Summer Junior Nats,,,Minneapolis,,8/11/2016,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,43,1/1/1900 12:01:51 AM,31500506,,Tom,Thomas,Shields,PC,NOVA,,2008 CA Janet Evans Inv,,,Los Angeles,,6/6/2008,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,44,1/1/1900 12:01:51 AM,62806,,Michael,Michael,Phelps,US,NBAC,,2001 Summer Nationals,,,,,8/14/2001,,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,45,1/1/1900 12:01:51 AM,33077832,,Jordan,Jordan,Huff,IA,DASH,,2008 Summer Junior Nats ,,,Minneapolis,,8/4/2008,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,46,1/1/1900 12:01:51 AM,88388190,,,Aidan,Keen,MV,IFLY,,2014 Summer Junior Nats,,,Irvine,,7/30/2014,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,47,1/1/1900 12:01:51 AM,41041157,,,Thomas,Stephens,MR,NOVA,,2009 Summer Junior Nats,,,Federal Way,,8/10/2009,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,48,1/1/1900 12:01:51 AM,41039987,,Tyler,Tyler,Messerschmidt,AZ,YWSF,,2009 Summer Junior Nats,,,Federal Way,,8/10/2009,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,49,1/1/1900 12:01:51 AM,118182389,,Rob,Robert,Powell,MD,ACSS,,Irish Open Swimming Championsh,,   ,Dublin,,4/6/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,50,1/1/1900 12:01:51 AM,58268020,,Cannon,Cannon,Clifton,WI,MAC,,2011 Summer Junior Nats,,   ,Palo Alto,,8/8/2011,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,50,1/1/1900 12:01:51 AM,132823672,,Lleyton,Lleyton,Plattel,PC,PLS,,2018 Phillips 66 TT,,   ,Irvine,USA,7/26/2018,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,52,1/1/1900 12:01:51 AM,57249769,,Tom,Tom,Kremer,PC,UN,,38th European Junior Championships 2011,,   ,Belgrade,,7/6/2011,Semi,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,52,1/1/1900 12:01:51 AM,143862456,,Rafael,Kaihan,Gu,CA,ROSE,,2019 Summer Junior Nats,,   ,Stanford,USA,8/9/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,54,1/1/1900 12:01:51 AM,88206905,,,Grant,Sanders,FL,CAT,,2014 FG Senior Championships-C,,   ,Coral Springs,,7/25/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,55,1/1/1900 12:01:51 AM,74704174,,Kyle,Kyle,Gornay,CA,UN,,2013 Pro Series - Mesa,,,Mesa,,4/11/2013,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,56,1/1/1900 12:01:52 AM,88512784,,True,Nicholas,Sweetser,FL,GSC,,2014 Summer Nationals,,,Irvine,,8/6/2014,Final,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,56,1/1/1900 12:01:52 AM,110511888,,Will,William,Tarvestad,PC,TS,,2016 Futures - Atlanta,,   ,Atlanta,,8/5/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,58,1/1/1900 12:01:52 AM,121681710,,Michael,Michael,Petrides,PC,KSC,,2017 PC SCSC Futures Championships - Time Trials,,   ,Santa Clara,,8/4/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,59,1/1/1900 12:01:52 AM,66513997,,Nick,Nicholas,Silverthorn,FG,PLS,,2012 Olympic Trials,,,Omaha,,6/25/2012,Prelim,N,,N
All Time Top 100 Age Group Times,1,15-16,215,M,200,FR,LCM,59,1/1/1900 12:01:52 AM,77859165,,James,James,Murphy,PC,MACH,,2013 NCSA Summer Swimming Cham,,,Indianapolis,,7/30/2013,Final,N,,N
